district,cycle,real_data,territorial,total_amount,tran_count,total_amount_without_LTS1,tran_count_without_LTS1,total_amount_no_primary,tran_count_no_primary,total_amount_no_primary_without_LTS1,tran_count_no_primary_without_LTS1,total_amount_primary,tran_count_primary,total_amount_primary_without_LTS1,tran_count_primary_without_LTS1,total_amount_gen,tran_count_gen,total_amount_gen_without_LTS1,tran_count_gen_without_LTS1,total_amount_special,tran_count_special,total_amount_special_without_LTS1,tran_count_special_without_LTS1,total_amount_dem_gen,tran_count_dem_gen,total_amount_dem_gen_without_LTS1,tran_count_dem_gen_without_LTS1,total_amount_dem_primary,tran_count_dem_primary,total_amount_dem_primary_without_LTS1,tran_count_dem_primary_without_LTS1,total_amount_dem_special,tran_count_dem_special,total_amount_dem_special_without_LTS1,tran_count_dem_special_without_LTS1,total_amount_rep_gen,tran_count_rep_gen,total_amount_rep_gen_without_LTS1,tran_count_rep_gen_without_LTS1,total_amount_rep_primary,tran_count_rep_primary,total_amount_rep_primary_without_LTS1,tran_count_rep_primary_without_LTS1,total_amount_rep_special,tran_count_rep_special,total_amount_rep_special_without_LTS1,tran_count_rep_special_without_LTS1
AL01,1998,1.0,0,359980.0,496.0,359980.0,496.0,93140.0,118.0,93140.0,118.0,266840.0,378.0,266840.0,378.0,93140.0,118.0,93140.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,1000.0,1.0,0.0,0.0,0.0,0.0,93140.0,118.0,93140.0,118.0,265840.0,377.0,265840.0,377.0,0.0,0.0,0.0,0.0
AL01,2000,1.0,0,398060.0,421.0,398060.0,421.0,155397.0,154.0,155397.0,154.0,242663.0,267.0,242663.0,267.0,155397.0,154.0,155397.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155397.0,154.0,155397.0,154.0,242663.0,267.0,242663.0,267.0,0.0,0.0,0.0,0.0
AL01,2002,1.0,0,3188817.98,4308.0,3188817.98,4308.0,1218549.98,1965.0,1218549.98,1965.0,1970268.0,2343.0,1970268.0,2343.0,661621.0,834.0,661621.0,834.0,1000.0,1.0,1000.0,1.0,45835.0,53.0,45835.0,53.0,95204.0,153.0,95204.0,153.0,0.0,0.0,0.0,0.0,615786.0,781.0,615786.0,781.0,1875064.0,2190.0,1875064.0,2190.0,1000.0,1.0,1000.0,1.0
AL01,2004,1.0,0,1700690.67,1755.0,1700690.67,1755.0,806046.67,870.0,806046.67,870.0,894644.0,885.0,894644.0,885.0,778885.0,734.0,778885.0,734.0,0.0,0.0,0.0,0.0,288550.0,157.0,288550.0,157.0,130144.0,61.0,130144.0,61.0,0.0,0.0,0.0,0.0,490335.0,577.0,490335.0,577.0,764500.0,824.0,764500.0,824.0,0.0,0.0,0.0,0.0
AL02,1980,1.0,0,90608.0,275.0,90608.0,275.0,42197.0,105.0,42197.0,105.0,48411.0,170.0,48411.0,170.0,42197.0,105.0,42197.0,105.0,0.0,0.0,0.0,0.0,5700.0,9.0,5700.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36497.0,96.0,36497.0,96.0,48411.0,170.0,48411.0,170.0,0.0,0.0,0.0,0.0
AL02,1982,1.0,0,259189.0,360.0,259189.0,360.0,152837.0,222.0,152837.0,222.0,106352.0,138.0,106352.0,138.0,152837.0,222.0,152837.0,222.0,0.0,0.0,0.0,0.0,47246.0,56.0,47246.0,56.0,32800.0,22.0,32800.0,22.0,0.0,0.0,0.0,0.0,105591.0,166.0,105591.0,166.0,73552.0,116.0,73552.0,116.0,0.0,0.0,0.0,0.0
AL02,1984,1.0,0,421365.0,439.0,421365.0,439.0,243829.0,226.0,243829.0,226.0,177536.0,213.0,177536.0,213.0,242829.0,224.0,242829.0,224.0,0.0,0.0,0.0,0.0,38142.0,47.0,38142.0,47.0,14550.0,18.0,14550.0,18.0,0.0,0.0,0.0,0.0,204687.0,177.0,204687.0,177.0,162986.0,195.0,162986.0,195.0,0.0,0.0,0.0,0.0
AL02,1986,1.0,0,299341.0,348.0,299341.0,348.0,169407.0,178.0,169407.0,178.0,129934.0,170.0,129934.0,170.0,169407.0,178.0,169407.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169407.0,178.0,169407.0,178.0,129934.0,170.0,129934.0,170.0,0.0,0.0,0.0,0.0
AL02,1988,1.0,0,34000.0,55.0,34000.0,55.0,5500.0,8.0,5500.0,8.0,28500.0,47.0,28500.0,47.0,5500.0,8.0,5500.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,8.0,5500.0,8.0,28500.0,47.0,28500.0,47.0,0.0,0.0,0.0,0.0
AL02,1990,1.0,0,446850.0,523.0,446850.0,523.0,260303.0,364.0,260303.0,364.0,186547.0,159.0,186547.0,159.0,260303.0,364.0,260303.0,364.0,0.0,0.0,0.0,0.0,89979.0,93.0,89979.0,93.0,54600.0,39.0,54600.0,39.0,0.0,0.0,0.0,0.0,170324.0,271.0,170324.0,271.0,131947.0,120.0,131947.0,120.0,0.0,0.0,0.0,0.0
