district,cycle,real_data,territorial,cfscore_mean_prim_dem,cfscore_mean_prim_rep,cfscore_prim_abs_diff,cfscore_gen_dem,cfscore_gen_rep,cfscore_gen_abs_diff,cfscore_mean_contrib,cfscore_mean_contrib_dem,cfscore_mean_contrib_rep
AR02,1990,1.0,0,-0.155,0.6136666666666667,0.7686666666666667,,,,0.3605979381443299,-0.02445581395348837,0.8391329479768785
AR02,1992,1.0,0,-0.669,,,-0.165,0.566,0.731,0.014984375,-0.007740540540540539,0.6155714285714284
AR02,1994,1.0,0,-0.091,1.196,1.287,,,,0.20016888888888887,0.010074468085106387,1.166054054054054
AR02,1996,1.0,0,-0.04225000000000001,1.165,1.2072500000000002,-0.373,,,0.15949719887955183,-0.2866810810810811,0.9800039761431412
AR02,1998,1.0,0,,1.146,,-0.656,0.726,1.3820000000000001,0.04117869822485207,-0.4601660714285714,1.0262771929824563
AR02,2000,1.0,0,-0.679,1.175,1.854,,,,0.18830793650793648,-0.48805602240896356,1.0727838827838827
AR02,2002,1.0,0,0.1255,,,,,,-0.10094817073170732,-0.10094817073170732,
AR02,2004,1.0,0,-0.67,1.088,1.758,,,,0.2675019417475728,-0.5058584905660378,1.0872639999999998
AR03,1980,1.0,0,,0.887,,,,,0.424,,0.424
AR03,1982,1.0,0,0.5895,0.871,0.2815,,,,0.41025000000000006,-0.3366521739130435,0.6745384615384615
AR03,1984,1.0,0,,0.663,,,,,0.7733125000000001,,0.7733125000000001
AR03,1986,1.0,0,,0.663,,-0.77,,,0.5656857142857142,-0.822,0.6065
AR03,1988,1.0,0,-0.7685,0.672,1.4405000000000001,,,,0.44713953488372093,-0.6655625000000001,0.7014714285714286
AR03,1990,1.0,0,,0.74,,-0.84,,,0.6763846153846154,-0.838,0.8025833333333333
AR03,1992,1.0,0,-0.36766666666666664,1.0285,1.3961666666666666,,,,0.42227272727272724,-0.3114787234042553,0.9257226277372262
AR03,1994,1.0,0,-0.828,0.7215,1.5495,0.096,1.14,1.0439999999999998,0.8399441340782122,-0.44413636363636366,1.01987898089172
AR03,1996,1.0,0,-0.523,,,-0.715,1.249,1.964,0.13277874186550975,-0.541,1.0996542553191488
AR03,1998,1.0,0,,,,-0.715,1.217,1.932,1.0194647887323942,-0.708,1.0358388625592416
AR03,2000,1.0,0,,1.348,,,,,1.126459375,,1.126459375
AR03,2002,1.0,0,,1.1044,,,,,0.7345215053763441,-0.005210000000000004,1.0064816176470588
AR03,2004,1.0,0,-0.896,0.17699999999999996,1.073,,,,0.3798743801652893,-0.5855914893617021,0.9930756756756757
AR04,1980,1.0,0,0.433,,,,,,0.2883,0.2883,
AR04,1982,1.0,0,1.019,1.066,0.04700000000000015,0.017,,,0.6198,0.2198767123287671,1.0906774193548388
AR04,1984,1.0,0,0.062,,,,1.066,,0.1807659574468085,0.16117391304347825,1.082
AR04,1986,1.0,0,,,,-0.048,1.028,1.076,0.28592537313432836,0.26643076923076925,0.9195
AR04,1988,1.0,0,-0.08,,,,1.378,,0.21307407407407408,0.1889056603773585,1.494
AR04,1990,1.0,0,,,,-0.062,,,0.224955223880597,0.224955223880597,
AR04,1992,1.0,0,0.14700000000000002,1.013,0.8659999999999999,-0.126,,,0.3699579967689822,0.06341849148418491,0.9756682692307692
AR04,1994,1.0,0,-0.333,,,-0.348,1.019,1.367,0.4851540516473731,-0.1152408163265306,0.9499146919431278
AR04,1996,1.0,0,-0.522,0.967,1.4889999999999999,-0.832,,,0.8373074003795066,-0.4025625,0.8761291585127201
AR04,1998,1.0,0,-0.5680000000000001,1.003,1.571,0.167,,,0.5309297971918876,-0.4595670731707317,0.8714779874213836
AR04,2000,1.0,0,-0.37275,1.027,1.39975,,,,0.3889846005774783,-0.11348845798707295,0.9358974874371859
AR04,2002,1.0,0,0.15449999999999997,0.986,0.8315,,,,0.5598584305408272,-0.06669621749408983,1.0695365384615385
AR04,2004,1.0,0,-0.095,,,-0.225,,,0.04637413394919169,0.0464212962962963,0.026
AS01,1980,1.0,1,-0.39,,,,,,-0.239,-0.077,
AS01,1982,1.0,1,,,,-0.581,,,,,
AS01,1984,1.0,1,-0.565,,,-0.107,,,,,
AS01,1986,1.0,1,-0.576,,,,,,-0.563,-0.563,
AS01,1988,1.0,1,,,,-0.219,,,-0.07253846153846154,-0.07253846153846154,
AS01,1990,1.0,1,-0.055,,,,,,0.20472527472527471,-0.0017428571428571389,
AS01,1992,1.0,1,,,,-0.471,,,-0.09547826086956522,-0.09547826086956522,
AS01,1994,1.0,1,,,,-0.224,0.651,0.875,0.20990196078431372,-0.01163888888888889,0.7416
AS01,1996,1.0,1,,,,-0.298,1.058,1.356,0.4029148936170213,-0.037925925925925925,0.9980499999999999
AS01,1998,1.0,1,-0.182,,,,,,-0.14575,-0.14575,
AS01,2000,1.0,1,-0.329,,,,0.938,,0.49523809523809526,-0.044631578947368425,0.9412173913043478
AS01,2002,1.0,1,-0.09,,,1.164,1.169,0.0050000000000001155,0.25190123456790126,0.17072602739726025,0.992625
AS01,2004,1.0,1,,,,0.002,0.985,0.983,0.21224778761061946,0.030868131868131865,0.9625
AZ01,1980,1.0,0,-1.029,1.082,2.1109999999999998,-0.074,,,1.022951219512195,-0.758,1.0828151260504202
AZ01,1982,1.0,0,-0.266,1.07475,1.34075,,0.848,,0.997634375,,0.997634375
AZ01,1984,1.0,0,,1.178,,-0.7,,,0.882560606060606,,0.882560606060606
AZ01,1986,1.0,0,-0.7,1.0963333333333332,1.7963333333333331,,,,1.1337355371900826,-0.693,1.1413153526970956
AZ01,1988,1.0,0,,1.3780000000000001,,0.23,,,1.1338333333333332,0.655,1.2296
