district,cycle,real_data,territorial
AZ03,1982,1.0,0
AZ03,1984,1.0,0
AZ03,1986,1.0,0
AZ03,1988,1.0,0
AZ03,1990,1.0,0
AZ03,1992,1.0,0
AZ03,1994,1.0,0
AZ03,1996,1.0,0
AZ03,1998,1.0,0
AZ03,2000,1.0,0
AZ03,2002,1.0,0
AZ03,2004,1.0,0
AZ04,1980,1.0,0
AZ04,1982,1.0,0
AZ04,1984,1.0,0
AZ04,1986,1.0,0
AZ04,1988,1.0,0
AZ04,1990,1.0,0
AZ04,1992,1.0,0
AZ04,1994,1.0,0
AZ04,1996,1.0,0
AZ04,1998,1.0,0
AZ04,2000,1.0,0
AZ04,2002,1.0,0
AZ04,2004,1.0,0
AZ05,1980,0.0,0
AZ05,1982,1.0,0
AZ05,1984,1.0,0
AZ05,1986,1.0,0
AZ05,1988,1.0,0
AZ05,1990,1.0,0
AZ05,1992,1.0,0
AZ05,1994,1.0,0
AZ05,1996,1.0,0
AZ05,1998,1.0,0
AZ05,2000,1.0,0
AZ05,2002,1.0,0
AZ05,2004,1.0,0
AZ06,1980,0.0,0
AZ06,1982,0.0,0
AZ06,1984,0.0,0
AZ06,1986,0.0,0
AZ06,1988,0.0,0
AZ06,1990,0.0,0
AZ06,1992,1.0,0
AZ06,1994,1.0,0
AZ06,1996,1.0,0
AZ06,1998,1.0,0
AZ06,2000,1.0,0
AZ06,2002,1.0,0
AZ06,2004,1.0,0
AZ07,1980,0.0,0
AZ07,1982,0.0,0
AZ07,1984,0.0,0
AZ07,1986,0.0,0
AZ07,1988,0.0,0
AZ07,1990,0.0,0
AZ07,1992,0.0,0
AZ07,1994,0.0,0
AZ07,1996,0.0,0
AZ07,1998,0.0,0
AZ07,2000,0.0,0
AZ07,2002,1.0,0
AZ07,2004,1.0,0
AZ08,1980,0.0,0
AZ08,1982,0.0,0
AZ08,1984,0.0,0
AZ08,1986,0.0,0
AZ08,1988,0.0,0
AZ08,1990,0.0,0
AZ08,1992,0.0,0
AZ08,1994,0.0,0
AZ08,1996,0.0,0
AZ08,1998,0.0,0
AZ08,2000,0.0,0
AZ08,2002,1.0,0
AZ08,2004,1.0,0
AZ09,1980,0.0,0
AZ09,1982,0.0,0
AZ09,1984,0.0,0
AZ09,1986,0.0,0
AZ09,1988,0.0,0
AZ09,1990,0.0,0
AZ09,1992,0.0,0
AZ09,1994,0.0,0
AZ09,1996,0.0,0
AZ09,1998,0.0,0
AZ09,2000,0.0,0
AZ09,2002,0.0,0
AZ09,2004,0.0,0
CA01,1980,1.0,0
CA01,1982,1.0,0
CA01,1984,1.0,0
CA01,1986,1.0,0
CA01,1988,1.0,0
CA01,1990,1.0,0
CA01,1992,1.0,0
CA01,1994,1.0,0
CA01,1996,1.0,0
CA01,1998,1.0,0
CA01,2000,1.0,0
CA01,2002,1.0,0
CA01,2004,1.0,0
CA02,1980,1.0,0
CA02,1982,1.0,0
CA02,1984,1.0,0
CA02,1986,1.0,0
CA02,1988,1.0,0
CA02,1990,1.0,0
CA02,1992,1.0,0
CA02,1994,1.0,0
CA02,1996,1.0,0
CA02,1998,1.0,0
CA02,2000,1.0,0
CA02,2002,1.0,0
CA02,2004,1.0,0
CA03,1980,1.0,0
CA03,1982,1.0,0
CA03,1984,1.0,0
CA03,1986,1.0,0
CA03,1988,1.0,0
CA03,1990,1.0,0
CA03,1992,1.0,0
CA03,1994,1.0,0
CA03,1996,1.0,0
CA03,1998,1.0,0
CA03,2000,1.0,0
CA03,2002,1.0,0
CA03,2004,1.0,0
CA04,1980,1.0,0
CA04,1982,1.0,0
CA04,1984,1.0,0
CA04,1986,1.0,0
CA04,1988,1.0,0
CA04,1990,1.0,0
CA04,1992,1.0,0
CA04,1994,1.0,0
CA04,1996,1.0,0
CA04,1998,1.0,0
CA04,2000,1.0,0
CA04,2002,1.0,0
CA04,2004,1.0,0
CA05,1980,1.0,0
CA05,1982,1.0,0
CA05,1984,1.0,0
CA05,1986,1.0,0
CA05,1988,1.0,0
CA05,1990,1.0,0
CA05,1992,1.0,0
CA05,1994,1.0,0
CA05,1996,1.0,0
CA05,1998,1.0,0
CA05,2000,1.0,0
CA05,2002,1.0,0
CA05,2004,1.0,0
CA06,1980,1.0,0
CA06,1982,1.0,0
CA06,1984,1.0,0
CA06,1986,1.0,0
CA06,1988,1.0,0
CA06,1990,1.0,0
CA06,1992,1.0,0
CA06,1994,1.0,0
CA06,1996,1.0,0
CA06,1998,1.0,0
CA06,2000,1.0,0
CA06,2002,1.0,0
CA06,2004,1.0,0
CA07,1980,1.0,0
CA07,1982,1.0,0
CA07,1984,1.0,0
CA07,1986,1.0,0
CA07,1988,1.0,0
CA07,1990,1.0,0
CA07,1992,1.0,0
CA07,1994,1.0,0
CA07,1996,1.0,0
CA07,1998,1.0,0
CA07,2000,1.0,0
CA07,2002,1.0,0
CA07,2004,1.0,0
CA08,1980,1.0,0
CA08,1982,1.0,0
CA08,1984,1.0,0
CA08,1986,1.0,0
CA08,1988,1.0,0
